FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4126,Personnel,B 12,1,0303,Administrative Assistant III,Annual,1,1,$62004.00,$62004.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4126,Personnel,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$13371.00,$13371.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4126,Personnel,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$2929.00,$2929.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4127,Human Relations,3 00,0,8535,Coordinator of Human Relations,Annual,1,1,$124080.00,$124080.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4127,Human Relations,B 13,1,0308,Staff Assistant,Annual,1,1,$81948.00,$81948.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4127,Human Relations,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$477.00,$477.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4127,Human Relations,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$410.00,$410.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4129,Records,BX 13,10,0841,Manager of Data Entry Operators,Annual,1,1,$59376.00,$59376.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4129,Records,B 09,1,0665,Senior Data Entry Operator,Annual,1,1,$56544.00,$56544.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4129,Records,B 08,1,0430,Clerk III,Annual,1,1,$33564.00,$33564.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4129,Records,B 10,1,0302,Administrative Assistant II,Annual,1,1,$64992.00,$64992.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3106,Administrative Services,4129,Records,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$776.00,$776.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,1 00,89,9702,Deputy Fire Commissioner,Annual,1,1,$187680.00,$187680.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,F 05,87,8745,Ambulance Commander,Annual,1,1,$125190.00,$125190.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,F 6B,80,8726,Commander - EMT,Annual,1,1,$145116.00,$145116.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,G 06,4,0638,Programmer/Analyst,Annual,1,1,$89676.00,$89676.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,B 13,1,0308,Staff Assistant,Annual,1,1,$71292.00,$71292.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,B 12,1,0303,Administrative Assistant III,Annual,1,1,$68028.00,$68028.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,B 12,1,0303,Administrative Assistant III,Annual,1,1,$44820.00,$44820.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$846.00,$846.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4130,Administration,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$2620.00,$2620.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4133,Support and Logistics-EMS,3 00,80,8734,Assistant Deputy Chief Paramedic,Annual,1,1,$156360.00,$156360.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4133,Support and Logistics-EMS,U 09,53,6331,Senior Storekeeper,Annual,1,1,$57084.00,$57084.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4133,Support and Logistics-EMS,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$1344.00,$1344.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,2 0,53,9532,Stores Laborer,Hourly,2,1,$39.20,$163072.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 3A,87,8819,Firefighter - Per Arbitrators Award - Paramedic,Annual,2,1,$109548.00,$219096.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 4B,87,8811,Lieutenant - EMT,Annual,2,1,$118248.00,$236496.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 1B,87,8801,Firefighter - EMT,Annual,4,1,$100248.00,$400992.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 1B,87,8801,Firefighter - EMT,Annual,2,1,$96414.00,$192828.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 1B,87,8801,Firefighter - EMT,Annual,3,1,$92682.00,$278046.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 1B,87,8801,Firefighter - EMT,Annual,3,1,$89568.00,$268704.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 1B,87,8801,Firefighter - EMT,Annual,1,1,$57978.00,$57978.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,3 00,80,8784,Coordinator of Air Mask Services,Annual,1,1,$157776.00,$157776.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,3 00,89,8763,District Chief,Annual,1,1,$170112.00,$170112.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 05,87,8737,Captain,Annual,1,1,$125190.00,$125190.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 04,87,8735,Lieutenant,Annual,2,1,$111474.00,$222948.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 04,87,8735,Lieutenant,Annual,1,1,$101442.00,$101442.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 3A,87,8733,Fire Engineer,Annual,1,1,$100884.00,$100884.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 3A,87,8733,Fire Engineer,Annual,2,1,$94584.00,$189168.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 01,87,8731,Firefighter,Annual,6,1,$94530.00,$567180.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 01,87,8731,Firefighter,Annual,4,1,$90918.00,$363672.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 01,87,8731,Firefighter,Annual,2,1,$87384.00,$174768.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 01,87,8731,Firefighter,Annual,1,1,$84450.00,$84450.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,F 01,87,8731,Firefighter,Annual,2,1,$54654.00,$109308.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,R 15,36,6733,Supervising Air Mask Technician,Annual,1,1,$99552.00,$99552.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,R 14,36,6732,Senior Air Mask Technician,Annual,2,1,$90744.00,$181488.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,R 14,36,6732,Senior Air Mask Technician,Annual,1,1,$86580.00,$86580.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,R 14,36,6732,Senior Air Mask Technician,Annual,1,1,$82728.00,$82728.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,B 12,1,0303,Administrative Assistant III,Annual,1,1,$71292.00,$71292.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,B 10,1,0302,Administrative Assistant II,Annual,1,1,$37248.00,$37248.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$15557.00,$15557.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,$2153.00,$2153.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3108,Support Services,4134,Equipment/Supplies,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$37474.00,$37474.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,1 00,89,9702,Deputy Fire Commissioner,Annual,1,1,$187680.00,$187680.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,3 00,10,8879,Chief Fire Prevention Engineer,Annual,1,1,$112308.00,$112308.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,G 08,4,8877,Fire Prevention Engineer,Annual,1,1,$106836.00,$106836.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,3 00,89,8763,District Chief,Annual,1,1,$170112.00,$170112.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,F 3A,87,8749,Paramedic-In-Charge,Annual,1,1,$100884.00,$100884.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,F 05,87,8737,Captain,Annual,1,1,$125190.00,$125190.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,F 06,80,8725,Commander,Annual,1,1,$132720.00,$132720.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,B 13,1,0308,Staff Assistant,Annual,1,1,$71292.00,$71292.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,B 12,1,0303,Administrative Assistant III,Annual,2,1,$81948.00,$163896.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,B 12,1,0303,Administrative Assistant III,Annual,1,1,$68028.00,$68028.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$3430.00,$3430.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4144,Administration,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$4310.00,$4310.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 3A,87,8819,Firefighter - Per Arbitrators Award - Paramedic,Annual,1,1,$109548.00,$109548.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 3A,87,8819,Firefighter - Per Arbitrators Award - Paramedic,Annual,1,1,$106440.00,$106440.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 5B,87,8817,Captain - EMT,Annual,1,1,$132780.00,$132780.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 4P,87,8812,Lieutenant - Paramedic,Annual,4,1,$121068.00,$484272.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 4B,87,8811,Lieutenant - EMT,Annual,5,1,$118248.00,$591240.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 4B,87,8811,Lieutenant - EMT,Annual,5,1,$114534.00,$572670.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 4B,87,8811,Lieutenant - EMT,Annual,4,1,$110970.00,$443880.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 4B,87,8811,Lieutenant - EMT,Annual,4,1,$107592.00,$430368.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 4B,87,8811,Lieutenant - EMT,Annual,1,1,$85638.00,$85638.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 1B,87,8801,Firefighter - EMT,Annual,1,1,$100248.00,$100248.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 1B,87,8801,Firefighter - EMT,Annual,4,1,$89568.00,$358272.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 1B,87,8801,Firefighter - EMT,Annual,5,1,$86538.00,$432690.00
Local,70,BACP,0100,CORPORATE FUND,1005,BACP,2005,BACP,3012,Small Business Center,0,,BX 15,10,1912,Project Coordinator,Annual,1,1,$56124.00,$56124.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 1B,87,8801,Firefighter - EMT,Annual,1,1,$57978.00,$57978.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 06,87,8739,Battalion Chief,Annual,1,1,$136836.00,$136836.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 05,87,8737,Captain,Annual,1,1,$125190.00,$125190.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 04,87,8735,Lieutenant,Annual,8,1,$111474.00,$891792.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 04,87,8735,Lieutenant,Annual,3,1,$104628.00,$313884.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 04,87,8735,Lieutenant,Annual,5,1,$101442.00,$507210.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 3A,87,8733,Fire Engineer,Annual,2,1,$100884.00,$201768.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 01,87,8731,Firefighter,Annual,6,1,$94530.00,$567180.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 01,87,8731,Firefighter,Annual,4,1,$90918.00,$363672.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 01,87,8731,Firefighter,Annual,5,1,$87384.00,$436920.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 01,87,8731,Firefighter,Annual,1,1,$84450.00,$84450.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 01,87,8731,Firefighter,Annual,1,1,$54654.00,$54654.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,F 02,87,8728,Firefighter - Paramedic,Annual,1,1,$98706.00,$98706.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$21516.00,$21516.00
Local,59,FIRE DEPARTMENT,0100,CORPORATE FUND,1005,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,3112,Fire Prevention,4146,Inspections,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$76884.00,$76884.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,1 00,9,9967,Commissioner of Buildings,Annual,1,1,$157092.00,$157092.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,1 00,9,9813,Managing Deputy Commissioner,Annual,1,1,$122856.00,$122856.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,1 00,9,9660,First Deputy Commissioner,Annual,1,1,$129156.00,$129156.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,B 16,3,2131,Coordinator of Special Projects - Buildings,Annual,1,1,$94200.00,$94200.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,3 00,0,1430,Policy Analyst,Annual,1,1,$86700.00,$86700.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,3 00,0,1430,Policy Analyst,Annual,1,1,$57834.00,$57834.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,3 00,0,0705,Director Public Affairs,Annual,1,1,$99672.00,$99672.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,B 13,1,0308,Staff Assistant,Annual,1,1,$71292.00,$71292.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,B 13,1,0308,Staff Assistant,Annual,1,1,$68028.00,$68028.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,B 13,1,0308,Staff Assistant,Annual,1,1,$64296.00,$64296.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,3 00,10,0216,Manager of Customer Services,Annual,1,1,$90228.00,$90228.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$2595.00,$2595.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4001,Office of the Commissioner,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$1488.00,$1488.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4002,Finance and Administration Services,1 00,9,9679,Deputy Commissioner,Annual,1,1,$102084.00,$102084.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4002,Finance and Administration Services,BX 17,20,1327,Supervisor of Personnel Administration,Annual,1,1,$95820.00,$95820.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4002,Finance and Administration Services,3 00,9,0313,Assistant Commissioner,Annual,1,1,$112308.00,$112308.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4002,Finance and Administration Services,B 13,1,0308,Staff Assistant,Annual,1,1,$81948.00,$81948.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4002,Finance and Administration Services,B 13,1,0308,Staff Assistant,Annual,1,1,$74676.00,$74676.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4002,Finance and Administration Services,B 13,1,0308,Staff Assistant,Annual,1,1,$71292.00,$71292.00
Local,67,DEPARTMENT OF BUILDINGS,0100,CORPORATE FUND,1005,BUILDINGS,2005,BUILDINGS,3006,Administration,4002,Finance and Administration Services,B 12,1,0303,Administrative Assistant III,Annual,1,1,$81948.00,$81948.00
